iter	Passed	Remaining
0	105	90059
1	134	57716
2	170	48466
3	202	43201
4	231	39464
5	267	38035
6	302	36716
7	333	35393
8	367	34659
9	407	34563
10	445	34333
11	479	33794
12	512	33303
13	546	32925
14	579	32546
15	610	32129
16	645	31912
17	678	31644
18	710	31366
19	747	31313
20	776	30968
21	808	30735
22	843	30635
23	878	30512
24	910	30335
25	943	30180
26	975	30030
27	1009	29925
28	1039	29723
29	1072	29591
30	1104	29467
31	1136	29345
32	1172	29318
33	1205	29226
34	1241	29186
35	1272	29050
36	1315	29182
37	1354	29221
38	1386	29123
39	1420	29056
40	1485	29598
41	1527	29668
42	1570	29772
43	1605	29698
44	1638	29598
45	1674	29553
46	1707	29467
47	1738	29341
48	1769	29214
49	1804	29158
50	1835	29038
51	1881	29155
52	1916	29108
53	1950	29042
54	1984	28977
55	2017	28899
56	2047	28774
57	2080	28694
58	2117	28677
59	2152	28622
60	2189	28603
61	2223	28549
62	2259	28515
63	2292	28436
64	2324	28360
65	2366	28393
66	2417	28537
67	2448	28450
68	2483	28402
69	2517	28338
70	2551	28279
71	2581	28184
72	2614	28113
73	2648	28056
74	2680	27981
75	2716	27953
76	2757	27970
77	2796	27964
78	2837	27981
79	2875	27960
80	2910	27917
81	2945	27874
82	2978	27815
83	3013	27763
84	3051	27750
85	3086	27704
86	3127	27712
87	3160	27657
88	3196	27617
89	3232	27584
90	3267	27537
91	3303	27502
92	3337	27456
93	3373	27421
94	3410	27393
95	3456	27438
96	3487	27361
97	3522	27316
98	3555	27261
99	3590	27214
100	3623	27158
101	3654	27085
102	3684	27011
103	3715	26939
104	3744	26855
105	3779	26810
106	3808	26729
107	3842	26683
108	3871	26601
109	3909	26581
110	3943	26535
111	3977	26492
112	4019	26500
113	4054	26457
114	4089	26422
115	4126	26392
116	4155	26318
117	4187	26262
118	4221	26215
119	4249	26135
120	4283	26092
121	4316	26039
122	4347	25977
123	4381	25933
124	4411	25871
125	4442	25808
126	4480	25789
127	4513	25739
128	4541	25667
129	4574	25616
130	4609	25581
131	4644	25542
132	4682	25523
133	4718	25491
134	4751	25445
135	4781	25386
136	4816	25349
137	4847	25290
138	4878	25236
139	4909	25176
140	4940	25122
141	4969	25057
142	5001	25005
143	5041	24995
144	5075	24959
145	5123	24988
146	5167	24992
147	5209	24992
148	5247	24968
149	5295	24995
150	5349	25049
151	5398	25076
152	5439	25064
153	5484	25072
154	5527	25070
155	5574	25087
156	5619	25092
157	5687	25197
158	5860	25762
159	5932	25878
160	6013	26034
161	6103	26224
162	6168	26300
163	6216	26305
164	6266	26321
165	6301	26267
166	6335	26213
167	6370	26165
168	6407	26123
169	6457	26133
170	6494	26093
171	6533	26059
172	6602	26144
173	6649	26138
174	6702	26158
175	6764	26212
176	6817	26231
177	6852	26176
178	6893	26150
179	6929	26101
180	6965	26053
181	7027	26101
182	7082	26125
183	7119	26079
184	7151	26015
185	7217	26074
186	7269	26086
187	7308	26044
188	7359	26051
189	7405	26035
190	7446	26002
191	7516	26072
192	7586	26140
193	7637	26140
194	7783	26462
195	7862	26554
196	7899	26506
197	7941	26470
198	7981	26430
199	8030	26421
200	8079	26408
201	8126	26391
202	8172	26368
