iter	MultiClass
0	1.337023584
1	1.29693149
2	1.26115343
3	1.227639992
4	1.202031179
5	1.177415784
6	1.157630393
7	1.137236489
8	1.120691213
9	1.101265969
10	1.087209967
11	1.073904548
12	1.060383346
13	1.050530484
14	1.04142324
15	1.032732346
16	1.024300141
17	1.013435557
18	1.005641604
19	0.9980763632
20	0.9908920798
21	0.9858460038
22	0.9797385279
23	0.9720180909
24	0.9648672307
25	0.9581253163
26	0.9509333599
27	0.9459776478
28	0.9413027271
29	0.9371375411
30	0.9337185933
31	0.9292263359
32	0.9240743226
33	0.9188534109
34	0.9142046996
35	0.9107207363
36	0.9045419326
37	0.9012470068
38	0.8972849496
39	0.895280245
40	0.8927603706
41	0.8903665907
42	0.887243919
43	0.8844046524
44	0.8827332338
45	0.8795622585
46	0.8763249753
47	0.873529479
48	0.8709025461
49	0.8684280223
50	0.8644258373
51	0.8629454358
52	0.8597196359
53	0.8576914332
54	0.8559014376
55	0.85251886
56	0.8499632356
57	0.8485532226
58	0.8465722467
59	0.8445398111
60	0.8417369763
61	0.8400557044
62	0.8369971753
63	0.8349347608
64	0.8317681782
65	0.8302135887
66	0.828189113
67	0.8258222046
68	0.823782545
69	0.8212910609
70	0.819823867
71	0.8182610199
72	0.8156090525
73	0.8137262622
74	0.8110090306
75	0.8095813713
76	0.8074770819
77	0.8056894198
78	0.8035981879
79	0.8018167622
80	0.8007006488
81	0.799155421
82	0.7960806972
83	0.7932375268
84	0.7911047437
85	0.7897214998
86	0.7878355707
87	0.7853040873
88	0.7827971753
89	0.7806690687
90	0.7788737212
91	0.7768852955
92	0.7751427407
93	0.7739282053
94	0.7723591536
95	0.7706051486
96	0.7691521558
97	0.7678674134
98	0.7655151421
99	0.7642932731
100	0.7623119977
101	0.7609553862
102	0.7588086153
103	0.7566755962
104	0.7547732916
105	0.7531521674
106	0.7513945614
107	0.7501293508
108	0.7486694363
109	0.747894644
110	0.7462800109
111	0.7442388701
112	0.7429246137
113	0.7415974276
114	0.7400274551
115	0.738035343
116	0.7356820525
