iter	Passed	Remaining
0	50	43516
1	111	47714
2	154	44052
3	202	43244
4	251	42986
5	297	42209
6	341	41566
7	388	41289
8	439	41489
9	521	44181
10	577	44448
11	625	44126
12	671	43645
13	718	43330
14	764	42990
15	817	43044
16	862	42687
17	912	42600
18	960	42429
19	1012	42430
20	1061	42305
21	1110	42195
22	1152	41851
23	1202	41796
24	1249	41618
25	1295	41452
26	1340	41257
27	1385	41064
28	1434	41018
29	1485	41004
30	1540	41094
31	1587	40984
32	1642	41063
33	1693	41036
34	1739	40897
35	1788	40830
36	1837	40762
37	1890	40786
38	1943	40814
39	1990	40713
40	2035	40565
41	2084	40491
42	2131	40407
43	2182	40372
44	2234	40364
45	2329	41117
46	2380	41079
47	2426	40951
48	2482	40991
49	2532	40919
50	2583	40873
51	2633	40821
52	2679	40703
53	2729	40632
54	2780	40594
55	2833	40577
56	2880	40479
57	2927	40378
58	2979	40348
59	3030	40309
60	3084	40303
61	3131	40200
62	3183	40178
63	3229	40067
64	3280	40021
65	3333	40005
66	3381	39926
67	3436	39922
68	3482	39822
69	3527	39710
70	3581	39698
71	3628	39607
72	3677	39546
73	3733	39552
74	3781	39481
75	3826	39371
76	3880	39361
77	3928	39286
78	3969	39145
79	4014	39044
80	4062	38973
81	4112	38922
82	4166	38905
83	4215	38844
84	4261	38758
85	4310	38692
86	4359	38632
87	4403	38531
88	4445	38409
89	4493	38347
90	4541	38280
91	4593	38247
92	4640	38175
93	4687	38100
94	4734	38027
95	4776	37917
96	4831	37906
97	4881	37859
98	4924	37753
99	4975	37711
100	5023	37650
101	5071	37592
102	5118	37521
103	5168	37474
104	5216	37407
105	5262	37334
106	5311	37277
107	5360	37224
108	5410	37177
109	5460	37129
110	5511	37092
111	5554	37000
112	5602	36935
113	5651	36886
114	5700	36828
115	5746	36757
116	5796	36713
117	5845	36660
118	5900	36644
119	5952	36609
120	6008	36599
121	6061	36566
122	6144	36717
123	6194	36667
124	6238	36582
125	6285	36517
126	6333	36455
127	6379	36385
128	6425	36314
129	6473	36249
130	6523	36202
131	6572	36147
132	6619	36084
133	6673	36054
134	6720	35991
135	6764	35911
136	6815	35869
137	6860	35794
138	6909	35739
139	6957	35683
140	7008	35641
141	7052	35561
142	7099	35498
143	7148	35445
144	7196	35386
145	7242	35319
146	7290	35260
147	7340	35214
148	7385	35145
149	7433	35084
150	7481	35029
151	7532	34988
152	7581	34933
153	7627	34870
154	7676	34816
155	7720	34743
156	7765	34674
157	7809	34600
158	7858	34549
159	7900	34465
160	7948	34412
161	7994	34347
162	8038	34274
163	8087	34224
164	8130	34148
165	8179	34098
166	8229	34051
167	8281	34014
168	8327	33950
169	8376	33899
170	8421	33835
171	8470	33782
172	8515	33719
173	8567	33677
174	8617	33632
175	8666	33583
176	8716	33535
177	8764	33482
178	8814	33434
179	8864	33390
180	8905	33308
181	8955	33261
182	9003	33211
183	9054	33167
184	9103	33116
185	9160	33095
186	9210	33047
187	9262	33010
188	9312	32961
189	9363	32918
190	9413	32874
191	9461	32818
192	9509	32767
193	9551	32690
194	9599	32639
195	9647	32585
196	9693	32525
197	9739	32464
198	9786	32408
199	9833	32351
200	9878	32289
201	9930	32249
202	9979	32198
203	10030	32156
204	10076	32097
205	10126	32049
206	10173	31996
207	10226	31956
208	10274	31903
209	10322	31850
210	10372	31805
211	10423	31760
212	10471	31708
213	10517	31651
214	10567	31603
215	10616	31554
216	10668	31513
217	10713	31453
218	10759	31394
219	10808	31343
220	10883	31370
221	10939	31340
222	10991	31298
223	11045	31263
224	11096	31216
225	11141	31156
226	11189	31104
227	11238	31053
228	11284	30995
229	11328	30931
230	11374	30872
231	11422	30820
232	11475	30780
233	11523	30729
234	11573	30681
235	11628	30646
236	11676	30594
237	11729	30556
238	11778	30506
239	11827	30455
240	11874	30400
241	11915	30329
242	11964	30280
243	12012	30227
244	12061	30178
245	12108	30124
246	12158	30076
247	12204	30019
248	12243	29945
249	12289	29887
250	12331	29822
251	12387	29787
252	12434	29735
253	12482	29682
254	12528	29627
255	12576	29575
256	12622	29518
257	12670	29466
258	12715	29407
259	12762	29354
260	12814	29311
261	12862	29260
262	12907	29202
263	12953	29144
264	12999	29089
265	13047	29038
266	13099	28995
267	13152	28955
268	13203	28911
269	13255	28868
270	13303	28815
271	13352	28767
272	13399	28713
273	13446	28659
274	13496	28612
275	13547	28568
276	13602	28531
277	13658	28496
278	13757	28550
279	13800	28488
280	13847	28435
281	13904	28400
282	13956	28356
283	13998	28292
284	14045	28238
285	14092	28185
286	14133	28118
287	14179	28063
288	14224	28006
289	14272	27955
290	14320	27903
291	14366	27847
292	14410	27788
293	14459	27739
294	14507	27686
295	14557	27638
296	14605	27588
297	14655	27539
298	14702	27487
299	14749	27433
300	14799	27386
301	14848	27337
302	14894	27282
303	14940	27227
304	14985	27170
305	15042	27135
306	15092	27088
307	15145	27046
308	15192	26992
309	15243	26946
310	15293	26898
311	15337	26839
312	15382	26784
313	15432	26735
314	15476	26677
315	15526	26631
316	15581	26592
317	15628	26538
318	15680	26494
319	15726	26440
